Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963062.564092,354.9941674470489,0,0,704.0191994665288,[-226515.40345085],[   0.         -354.99416745    0.         -704.01919947]
1733963062.5737686,355.40945681439393,0,0,42.916447498283375,[-8443.05468196],[   0.         -355.40945681    0.          -42.9164475 ]
1733963062.6068666,355.40945681439393,0,0,0.0,[-28792.95609134],[   0.         -355.40945681    0.            0.        ]
1733963062.6383812,355.3758486715709,0,0,-1.0664293767320403,[-27410.94612192],[   0.         -355.37584867    0.            1.06642938]
1733963062.6716058,355.3758486715709,0,0,0.0,[-28900.35644145],[   0.         -355.37584867    0.            0.        ]
1733963062.7030602,355.20174896312795,0,0,-5.5350006709753625,[-27336.61575195],[   0.         -355.20174896    0.            5.53500067]
1733963062.7350154,354.9941674470489,0,0,-6.496008231116348,[-27753.87282404],[   0.         -354.99416745    0.            6.49600823]
1733963062.7675319,355.40945681439393,0,0,12.771658366178052,[-28312.08801709],[   0.         -355.40945681    0.          -12.77165837]
1733963062.7986264,355.40945681439393,0,0,0.0,[-27050.1093726],[   0.         -355.40945681    0.            0.        ]
1733963062.8316274,355.40945681439393,0,0,0.0,[-28708.54116637],[   0.         -355.40945681    0.            0.        ]
1733963062.861627,355.40945681439393,0,0,0.0,[-26097.69331495],[   0.         -355.40945681    0.            0.        ]
1733963062.8936203,355.40945681439393,0,0,0.0,[-27831.82891121],[   0.         -355.40945681    0.            0.        ]
1733963062.9426303,355.40945681439393,0,0,0.0,[-42635.34452507],[   0.         -355.40945681    0.            0.        ]
1733963062.9735522,355.40945681439393,0,0,0.0,[-26899.94621369],[   0.         -355.40945681    0.            0.        ]
1733963063.005642,355.40945681439393,0,0,0.0,[-27915.82902082],[   0.         -355.40945681    0.            0.        ]
1733963063.0385513,355.40945681439393,0,0,0.0,[-28628.89661799],[   0.         -355.40945681    0.            0.        ]
1733963063.069556,355.40945681439393,0,0,0.0,[-26971.91667797],[   0.         -355.40945681    0.            0.        ]
1733963063.1026413,355.40945681439393,0,0,0.0,[-28781.9634844],[   0.         -355.40945681    0.            0.        ]
1733963063.1345518,355.40945681439393,0,0,0.0,[-27759.85844692],[   0.         -355.40945681    0.            0.        ]
1733963063.1665523,355.40945681439393,0,0,0.0,[-27838.25854923],[   0.         -355.40945681    0.            0.        ]
1733963063.2005546,355.40945681439393,0,0,0.0,[-29579.65341422],[   0.         -355.40945681    0.            0.        ]
1733963063.2305577,355.40945681439393,0,0,0.0,[-26100.59702244],[   0.         -355.40945681    0.            0.        ]
1733963063.2637515,355.40945681439393,0,0,0.0,[-28876.33397792],[   0.         -355.40945681    0.            0.        ]
1733963063.2923212,355.40945681439393,0,0,0.0,[-24853.66206194],[   0.         -355.40945681    0.            0.        ]
1733963063.3253183,355.40945681439393,0,0,0.0,[-28705.22264352],[   0.         -355.40945681    0.            0.        ]
1733963063.374781,355.40945681439393,0,0,0.0,[-43029.00429803],[   0.         -355.40945681    0.            0.        ]
