Timestamp,Theta,Motor_x,Motor_velocity,Angle_velocity,Control_Output
1733963271.006763,0.4212849041685729,0,0,-916.8475994362956,[10608.16269303],[ 0.00000000e+00 -4.21284904e-01  0.00000000e+00  9.16847599e+02]
1733963271.026507,0.4212849041685729,0,0,0.0,[-20.35940216],[ 0.        -0.4212849  0.         0.       ]
1733963271.0724816,0.8425242607403902,0,0,9.162410379120685,[-120.16812912],[ 0.         -0.84252426  0.         -9.16241038]
1733963271.1046438,0.8425242607403902,0,0,0.0,[-66.32599539],[ 0.         -0.84252426  0.          0.        ]
1733963271.1371279,0.8425242607403902,0,0,0.0,[-66.98975685],[ 0.         -0.84252426  0.          0.        ]
1733963271.1699045,0.8425242607403902,0,0,0.0,[-67.59304227],[ 0.         -0.84252426  0.          0.        ]
1733963271.2032974,0.8363753254224093,0,0,-0.18413896901291232,[-67.99128849],[ 0.         -0.83637533  0.          0.18413897]
1733963271.2332172,0.4212849041685729,0,0,-13.873406598189948,[-5.86528655],[ 0.        -0.4212849  0.        13.8734066]
1733963271.2886639,0.8363753254224093,0,0,7.486306390723474,[-138.4967426],[ 0.         -0.83637533  0.         -7.48630639]
1733963271.3673568,0.8425242607403902,0,0,0.07813836188336888,[-162.65343443],[ 0.         -0.84252426  0.         -0.07813836]
1733963271.39335,0.8425242607403902,0,0,0.0,[-53.60390069],[ 0.         -0.84252426  0.          0.        ]
1733963271.4252813,0.8425242607403902,0,0,0.0,[-65.85005383],[ 0.         -0.84252426  0.          0.        ]
1733963271.459324,0.8425242607403902,0,0,0.0,[-70.20383735],[ 0.         -0.84252426  0.          0.        ]
1733963271.5046463,0.8425242607403902,0,0,0.0,[-93.46548073],[ 0.         -0.84252426  0.          0.        ]
1733963271.5376625,0.8425242607403902,0,0,0.0,[-68.0871758],[ 0.         -0.84252426  0.          0.        ]
1733963271.5673003,0.8425242607403902,0,0,0.0,[-61.12013882],[ 0.         -0.84252426  0.          0.        ]
1733963271.6010816,0.8425242607403902,0,0,0.0,[-69.66496138],[ 0.         -0.84252426  0.          0.        ]
